station,valid,alti,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-12-01T06:40:00Z,30.02,2025-12-01,06:40:00,40,30.015934929290903,101.64563186926651,34.00585107875872,10.365008372972843
SBA,2025-12-01T06:50:00Z,30.02,2025-12-01,06:50:00,50,30.015934929290903,101.64563186926651,34.00585107875872,10.365008372972843
SBA,2025-12-01T07:00:00Z,30.03,2025-12-01,07:00:00,00,30.025933575170082,101.67949117368667,34.0171788106304,10.368461073963177
SBA,2025-12-01T07:10:00Z,30.03,2025-12-01,07:10:00,10,30.025933575170082,101.67949117368667,34.0171788106304,10.368461073963177
SBA,2025-12-01T07:20:00Z,30.04,2025-12-01,07:20:00,20,30.035932221049258,101.71335047810679,34.02850654250206,10.371913774953505
SBA,2025-12-01T07:30:00Z,30.04,2025-12-01,07:30:00,30,30.035932221049258,101.71335047810679,34.02850654250206,10.371913774953505
SBA,2025-12-01T07:40:00Z,30.04,2025-12-01,07:40:00,40,30.035932221049258,101.71335047810679,34.02850654250206,10.371913774953505
SBA,2025-12-01T07:50:00Z,30.05,2025-12-01,07:50:00,50,30.04593086692844,101.74720978252695,34.03983427437374,10.375366475943837
SBA,2025-12-01T08:00:00Z,30.05,2025-12-01,08:00:00,00,30.04593086692844,101.74720978252695,34.03983427437374,10.375366475943837
SBA,2025-12-01T08:10:00Z,30.05,2025-12-01,08:10:00,10,30.04593086692844,101.74720978252695,34.03983427437374,10.375366475943837
SBA,2025-12-01T08:20:00Z,30.05,2025-12-01,08:20:00,20,30.04593086692844,101.74720978252695,34.03983427437374,10.375366475943837
SBA,2025-12-01T08:30:00Z,30.06,2025-12-01,08:30:00,30,30.055929512807616,101.78106908694707,34.051162006245406,10.378819176934165
SBA,2025-12-01T08:40:00Z,30.06,2025-12-01,08:40:00,40,30.055929512807616,101.78106908694707,34.051162006245406,10.378819176934165
SBA,2025-12-01T08:50:00Z,30.06,2025-12-01,08:50:00,50,30.055929512807616,101.78106908694707,34.051162006245406,10.378819176934165
